CustomerID,CustomerName,Phone,LoyaltyPoint
1,Customer 1,0957425900,733
2,Customer 2,0923936185,941
3,Customer 3,0943593857,557
4,Customer 4,0992995906,1012
5,Customer 5,0943765538,481
6,Customer 6,0912966067,883
7,Customer 7,0952315950,504
8,Customer 8,0957635314,240
9,Customer 9,0959238971,750
10,Customer 10,0916927259,859
11,Customer 11,0921789793,1098
12,Customer 12,0949423043,452
13,Customer 13,0967492767,490
14,Customer 14,0955053770,513
15,Customer 15,0952127124,641
16,Customer 16,0927448028,250
17,Customer 17,0930861953,830
18,Customer 18,0964157529,387
19,Customer 19,0990719191,1021
20,Customer 20,0998982872,598
21,Customer 21,0924027859,780
22,Customer 22,0927011763,254
23,Customer 23,0961280268,490
24,Customer 24,0974249050,539
25,Customer 25,0958118640,447
26,Customer 26,0995009142,791
27,Customer 27,0988719035,708
28,Customer 28,0984859585,603
29,Customer 29,0960341041,522
30,Customer 30,0924447816,517
31,Customer 31,0951636178,957
32,Customer 32,0978313528,380
33,Customer 33,0950194949,463
34,Customer 34,0940906411,579
35,Customer 35,0981680381,352
36,Customer 36,0923196111,401
37,Customer 37,0990884112,827
38,Customer 38,0987048364,950
39,Customer 39,0956415302,663
40,Customer 40,0917465455,695
41,Customer 41,0996744554,678
42,Customer 42,0959819281,572
43,Customer 43,0980624961,755
44,Customer 44,0930801055,646
45,Customer 45,0910611933,257
46,Customer 46,0917788121,385
47,Customer 47,0937639099,672
48,Customer 48,0932066927,503
49,Customer 49,0928358130,486
50,Customer 50,0928351477,572
51,Customer 51,0923742704,497
52,Customer 52,0929173783,235
53,Customer 53,0981370462,561
54,Customer 54,0936137035,608
55,Customer 55,0970215119,629
56,Customer 56,0950146407,559
57,Customer 57,0972947927,1008
58,Customer 58,0978105963,903
59,Customer 59,0918067925,598
60,Customer 60,0933042709,552
61,Customer 61,0966378313,929
62,Customer 62,0996850833,704
63,Customer 63,0913272101,559
64,Customer 64,0975868025,636
65,Customer 65,0983282904,1043
66,Customer 66,0936805991,632
67,Customer 67,0912693678,667
68,Customer 68,0931553577,344
69,Customer 69,0933731374,905
70,Customer 70,0961694617,377
71,Customer 71,0963175005,627
72,Customer 72,0992549118,486
73,Customer 73,0918691168,300
74,Customer 74,0994875367,959
75,Customer 75,0945894204,693
76,Customer 76,0963577448,733
77,Customer 77,0919314698,287
78,Customer 78,0988302859,545
79,Customer 79,0947625702,284
80,Customer 80,0936922535,288
81,Customer 81,0951649670,806
82,Customer 82,0949854963,516
83,Customer 83,0929897354,791
84,Customer 84,0924825319,447
85,Customer 85,0925302827,537
86,Customer 86,0936399286,400
87,Customer 87,0932026089,919
88,Customer 88,0922889043,727
89,Customer 89,0956977350,663
90,Customer 90,0984485880,796
91,Customer 91,0923006140,617
92,Customer 92,0922697156,229
93,Customer 93,0969556682,1402
94,Customer 94,0916542600,277
95,Customer 95,0951739235,717
96,Customer 96,0933754473,682
97,Customer 97,0938926706,413
98,Customer 98,0977034481,405
99,Customer 99,0958052691,1130
100,Customer 100,0926882331,136
101,Customer 101,0937152364,556
102,Customer 102,0912875120,270
103,Customer 103,0923901831,869
104,Customer 104,0942817601,968
105,Customer 105,0913672390,484
106,Customer 106,0963016143,750
107,Customer 107,0935854635,699
108,Customer 108,0931871307,461
109,Customer 109,0990611262,405
110,Customer 110,0964504929,845
111,Customer 111,0994042199,351
112,Customer 112,0987680287,463
113,Customer 113,0940416913,549
114,Customer 114,0931233287,409
115,Customer 115,0959868451,524
116,Customer 116,0935954582,575
117,Customer 117,0971048646,602
118,Customer 118,0934778799,531
119,Customer 119,0981764472,367
120,Customer 120,0929104275,537
121,Customer 121,0943851812,506
122,Customer 122,0925212960,584
123,Customer 123,0985598719,448
124,Customer 124,0996742940,491
125,Customer 125,0983036143,552
126,Customer 126,0915841128,671
127,Customer 127,0915067530,995
128,Customer 128,0962551833,1067
129,Customer 129,0926994058,750
130,Customer 130,0912605293,900
131,Customer 131,0964169580,804
132,Customer 132,0966238544,356
133,Customer 133,0953714784,663
134,Customer 134,0911679627,411
135,Customer 135,0916805974,571
136,Customer 136,0974455931,383
137,Customer 137,0992259187,464
138,Customer 138,0991366578,554
139,Customer 139,0950106613,697
140,Customer 140,0922410301,1093
141,Customer 141,0936058967,648
142,Customer 142,0979043567,328
143,Customer 143,0927177528,702
144,Customer 144,0939832465,716
145,Customer 145,0998288850,417
146,Customer 146,0970242386,952
147,Customer 147,0931737667,676
148,Customer 148,0992462036,631
149,Customer 149,0931108089,611
150,Customer 150,0926732173,964
151,Customer 151,0970827583,782
152,Customer 152,0943263357,507
153,Customer 153,0960291769,845
154,Customer 154,0948589231,988
155,Customer 155,0978751731,558
156,Customer 156,0993724865,859
157,Customer 157,0916224898,557
158,Customer 158,0960057919,705
159,Customer 159,0913132997,539
160,Customer 160,0913750222,505
161,Customer 161,0972948725,580
162,Customer 162,0967699362,479
163,Customer 163,0993668094,504
164,Customer 164,0978299103,574
165,Customer 165,0954788768,343
166,Customer 166,0974634684,606
167,Customer 167,0959065472,361
168,Customer 168,0919518078,418
169,Customer 169,0971743762,636
170,Customer 170,0965088876,782
171,Customer 171,0984113764,367
172,Customer 172,0980239722,820
173,Customer 173,0947653004,359
174,Customer 174,0931647519,1270
175,Customer 175,0977079980,631
176,Customer 176,0931592884,746
177,Customer 177,0982403791,280
178,Customer 178,0957448392,1248
179,Customer 179,0991996467,274
180,Customer 180,0920830841,348
181,Customer 181,0934794307,714
182,Customer 182,0938983260,588
183,Customer 183,0957683905,434
184,Customer 184,0926952362,379
185,Customer 185,0938989893,642
186,Customer 186,0918938257,650
187,Customer 187,0988587996,874
188,Customer 188,0986829886,888
189,Customer 189,0954522949,506
190,Customer 190,0987144451,747
191,Customer 191,0917037325,625
192,Customer 192,0920278113,773
193,Customer 193,0916488968,444
194,Customer 194,0940190838,714
195,Customer 195,0912474853,1104
196,Customer 196,0933601754,650
197,Customer 197,0968655309,707
198,Customer 198,0967300868,396
199,Customer 199,0956354821,331
200,Customer 200,0933043724,306
201,Customer 201,0922438301,534
202,Customer 202,0918972028,486
203,Customer 203,0948020058,936
204,Customer 204,0955027190,873
205,Customer 205,0965174993,662
206,Customer 206,0940249946,539
207,Customer 207,0914486567,976
208,Customer 208,0966563418,199
209,Customer 209,0950354875,586
210,Customer 210,0946227255,261
211,Customer 211,0915062763,427
212,Customer 212,0917963305,431
213,Customer 213,0916557743,469
214,Customer 214,0987421166,468
215,Customer 215,0990157524,512
216,Customer 216,0956156424,449
217,Customer 217,0946713651,696
218,Customer 218,0977817096,673
219,Customer 219,0998413508,529
220,Customer 220,0941080063,740
221,Customer 221,0938217650,551
222,Customer 222,0989919330,336
223,Customer 223,0933889199,309
224,Customer 224,0924031325,503
225,Customer 225,0996368857,428
226,Customer 226,0995711369,455
227,Customer 227,0921600440,459
228,Customer 228,0932281319,620
229,Customer 229,0915712655,907
230,Customer 230,0932344182,712
231,Customer 231,0959781978,817
232,Customer 232,0968367361,444
233,Customer 233,0983755684,699
234,Customer 234,0997454677,1141
235,Customer 235,0922697374,400
236,Customer 236,0989056904,740
237,Customer 237,0968552016,717
238,Customer 238,0962972570,810
239,Customer 239,0940866597,589
240,Customer 240,0959433726,511
241,Customer 241,0968184399,386
242,Customer 242,0997628365,1042
243,Customer 243,0925870985,694
244,Customer 244,0941505861,507
245,Customer 245,0962957255,545
246,Customer 246,0965667179,763
247,Customer 247,0986534576,543
248,Customer 248,0986774606,556
249,Customer 249,0946314707,856
250,Customer 250,0963646963,524
251,Customer 251,0910470574,401
252,Customer 252,0923247950,682
253,Customer 253,0934803640,593
254,Customer 254,0985606318,610
255,Customer 255,0944790635,534
256,Customer 256,0966649509,744
257,Customer 257,0941778374,484
258,Customer 258,0912270419,472
259,Customer 259,0943170576,452
260,Customer 260,0914229187,198
261,Customer 261,0939767552,658
262,Customer 262,0932065827,1010
263,Customer 263,0947342689,483
264,Customer 264,0963948600,442
265,Customer 265,0928457431,567
266,Customer 266,0977788300,608
267,Customer 267,0981318779,487
268,Customer 268,0920899710,419
269,Customer 269,0981900077,811
270,Customer 270,0914749283,563
271,Customer 271,0969225471,537
272,Customer 272,0934347385,611
273,Customer 273,0962963967,616
274,Customer 274,0971609521,910
275,Customer 275,0986646484,431
276,Customer 276,0930503352,517
